osmid,x,y
352911877,78.0263666,30.3162853
352911880,78.0366585,30.3158295
448466960,78.0483611,30.3022856
448466963,78.0375826,30.3156986
448466997,78.0540951,30.297413
448467058,78.0395644,30.3176721
448467065,78.1464064,30.1679666
448467088,78.1409122,30.1826042
448467103,78.1347001,30.1796801
448467104,78.0484928,30.3074567
448467127,78.0479211,30.304954
448467133,78.1442543,30.184319
448467173,78.1232957,30.2169243
448467182,78.0426668,30.3153427
448467189,78.1455134,30.1807516
448467219,78.0425349,30.3227747
448467226,78.048121,30.3039773
448467256,78.0332343,30.3266773
448467264,78.0938312,30.2540512
448467280,78.0555338,30.2963315
448467300,78.1242858,30.1759821
448467301,78.144828,30.1555344
448467303,78.0430545,30.3153263
448467306,78.1210926,30.2196833
448467310,78.1694707,30.1117806
448467325,78.0481088,30.3123063
448467346,78.0423504,30.3224745
448467359,78.0488889,30.3093452
449097745,78.2623267,30.0835171
449097753,78.3028367,30.1137166
449097755,78.2983413,30.1064161
449097761,78.2999506,30.107731
449097776,78.3008461,30.1079788
449097780,78.2969238,30.1041825
449097792,78.2743282,30.0911442
449097798,78.2940833,30.1026738
449097809,78.2680312,30.0872542
449097811,78.2959854,30.1034984
449097822,78.2865365,30.0966373
449097826,78.2689154,30.0878024
449097848,78.2862553,30.0963731
449097857,78.2542019,30.0738002
449097865,78.2707461,30.0889427
449097871,78.2975705,30.1054687
449097885,78.2783885,30.092432
449097887,78.2986647,30.106766
449097889,78.2641037,30.084815
449097891,78.297321,30.1048373
449097894,78.2674328,30.0868935
449097970,78.2688394,30.070177
449098022,78.2426958,30.064877
449098032,78.27911,30.07271
449098127,78.2748113,30.0683298
449098191,78.2373052,30.0624417
449098262,78.2363591,30.0618962
449098294,78.2452079,30.0658825
449098326,78.2328174,30.0604355
449098381,78.2477018,30.0678458
449098453,78.2337747,30.0603835
449098458,78.2864798,30.0749958
449098505,78.2768522,30.0712248
449098512,78.2725325,30.0690343
449098567,78.2292685,30.0589969
449098576,78.2422619,30.0646675
449098626,78.2858996,30.075249
506456254,78.0455357,30.3216945
506456257,78.0505165,30.3197576
506456259,78.0502823,30.3180557
506456262,78.0528425,30.3036468
506456263,78.0565171,30.3025057
506456264,78.0534353,30.2978703
506456282,78.042121,30.2891668
506456289,78.0386413,30.2800271
506456290,78.0327346,30.2879576
