Location,Phone,Capacity,Specialization,EmergencyServices,Type
Max Super Specialty Hospital,8794261530,Medium,General,Yes,Private
Himalayan Hospital,8902347615,Medium,General,Yes,Private
Shri Mahant Indiresh Hospital,8750346129,Medium,General,Yes,Private
Aarogyadham Super Specialty Hospital,8907654321,Medium,General,Yes,Private
Velmed Hospital,8679215043,Medium,General,Yes,Private
CMI Hospital,8765490321,Medium,General,Yes,Private
Baluni Hospital,8904237651,Medium,General,Yes,Private
Asha Multispeciality Hospital,8650937421,Medium,General,Yes,Private
Vibhuti Hospital,8945603287,Medium,General,Yes,Private
Kailash Medical & Research Centre,8765402913,Medium,General,Yes,Private
S.K Memorial Hospital,8902413657,Medium,General,Yes,Private
Nirmal Ashram Eye Institute,8750912346,Medium,General,Yes,Private
Nephroplus Dialysis Center,8903762514,Medium,General,Yes,Private
Ganga Mata Charitable Eye Hospital,8675342901,Medium,General,Yes,Private
Rewati Nursing Home,8901247365,Medium,General,Yes,Private
SMI Hospital,8765490312,Medium,General,Yes,Private
Uttaranchal Hospital,8976543201,Medium,General,Yes,Private
Drishti Eye Institute & Dehradun Wave Lasik Centre,8901267345,Medium,General,Yes,Private
Nanda Hospital,8765094132,Medium,General,Yes,Private
Luthra Nursing Home,8902765431,Medium,General,Yes,Private
Doon Eye Care Hospital,8764305912,Medium,General,Yes,Private
Dehradun Trauma Center,8905273461,Medium,General,Yes,Private
Dehradun Care Hospital,8765402913,Medium,General,Yes,Private
City Clinic,8901236574,Medium,General,Yes,Private
Kailash Hospital,8750496231,Medium,General,Yes,Private
Fortis Hospital Dehradun,8901765432,Medium,General,Yes,Private
Dr. Reddy’s Hospital,8675402391,Medium,General,Yes,Private
Sarvottam Hospital,8902436175,Medium,General,Yes,Private
Shishu Children’s Hospital,8765432098,Medium,General,Yes,Private
Vinayak Hospital,8903746512,Medium,General,Yes,Private
Paras Hospital Dehradun,8760432915,Medium,General,Yes,Private
Ruby Hospital & Heart Care,8901236547,Medium,General,Yes,Private
Surya Hospital,8654920371,Medium,General,Yes,Private
Ashirwad Hospital,8790456231,Medium,General,Yes,Private
Ganesh Hospital,8902467315,Medium,General,Yes,Private
Nainital Road Hospital,8765093214,Medium,General,Yes,Private
Siddhartha Hospital,8902347651,Medium,General,Yes,Private
Doon Hospital,8765039421,Medium,General,Yes,Private
Medanta Hospital (Clinic/Center),8906574321,Medium,General,Yes,Private
KIMS Hospital Dehradun (Kalinga Institute),8765493201,Medium,General,Yes,Private
Sai Hospital,8902143765,Medium,General,Yes,Private
Anmol Hospital,8760439175,Medium,General,Yes,Private
Life Care Hospital,8907624351,Medium,General,Yes,Private
Ruby Eye Care Centre,8765043921,Medium,General,Yes,Private
New Life Hospital,8902156743,Medium,General,Yes,Private
Dehradun Eye Hospital,8764309521,Medium,General,Yes,Private
City Hospital,8902374156,Medium,General,Yes,Private
Govind Hospital,8760541392,Medium,General,Yes,Private
Shree Ram Hospital,8902134765,Medium,General,Yes,Private
Sai Sewa Hospital,8765091243,Medium,General,Yes,Private
